date,deposits,withdrawls,balance
16-Jan-25,663.95,560,49601.1
17-Jan-25,705.48,154.71,50151.87
17-Jan-25,762.39,343.08,50571.18
17-Jan-25,268.18,356.82,50482.54
18-Jan-25,300.59,218.7,50564.43
18-Jan-25,818.65,322.91,51060.17
18-Jan-25,874.62,176.77,51758.02
19-Jan-25,968.87,508.95,52217.94
19-Jan-25,338.75,362.16,52194.53
19-Jan-25,621.08,651.49,52164.12
20-Jan-25,110.58,180.14,52094.56
20-Jan-25,100.53,103.56,52091.53
20-Jan-25,781.63,481.99,52391.17
21-Jan-25,831.39,45.83,53176.73
21-Jan-25,625.46,517.61,53284.58
21-Jan-25,437.12,334.27,53387.43
22-Jan-25,155.93,50.38,53492.98
22-Jan-25,128.4,119.24,53502.14
22-Jan-25,538.35,158.86,53881.63
23-Jan-25,309.27,136.33,54054.57
23-Jan-25,751.56,580.96,54225.17
23-Jan-25,51.48,129.91,54146.74
24-Jan-25,966.03,329.17,54783.6
24-Jan-25,908.47,615.3,55076.77
24-Jan-25,120.84,106.82,55090.79
25-Jan-25,825.3,682.88,55233.21
25-Jan-25,302.84,319.17,55216.88
25-Jan-25,722.27,276.36,55662.79
26-Jan-25,199.85,235.28,55627.36
26-Jan-25,464.8,186.76,55905.4
26-Jan-25,573.67,302.66,56176.41
27-Jan-25,956.38,320.54,56812.25
27-Jan-25,658.83,117.28,57353.8
27-Jan-25,444.38,528.28,57269.9
28-Jan-25,790.73,688.9,57371.73
28-Jan-25,55.28,137.26,57289.75
28-Jan-25,966.32,622.89,57633.18
29-Jan-25,743.01,98.56,58277.63
29-Jan-25,635.98,401.57,58512.04
29-Jan-25,445.88,376,58581.92
30-Jan-25,178.23,100.38,58659.77
30-Jan-25,660.49,322.68,58997.58
30-Jan-25,658.95,612.87,59043.66
31-Jan-25,145.32,464.58,58724.4
31-Jan-25,822.69,500.18,59046.91
31-Jan-25,830.26,606.34,59270.83
01-Feb-25,794.28,361.75,59703.36
01-Feb-25,630.04,398.38,59935.02
01-Feb-25,991.7,696.7,60230.02
02-Feb-25,282.28,647.14,59865.16
02-Feb-25,21.96,13.6,59873.52
02-Feb-25,19.4,508.32,59384.6
03-Feb-25,483.39,271.61,59596.38
03-Feb-25,370.66,382.18,59584.86
03-Feb-25,820.03,679.8,59725.09
04-Feb-25,382.75,339.14,59768.7
04-Feb-25,825.1,665.6,59928.2
04-Feb-25,608.3,79.62,60456.88
05-Feb-25,232.71,688.33,60001.26
05-Feb-25,523.89,16.39,60508.76
05-Feb-25,346.7,456.03,60399.43
06-Feb-25,570.74,244.68,60725.49
06-Feb-25,234.75,475.48,60484.76
06-Feb-25,13.91,167.61,60331.06
07-Feb-25,266.04,456.92,60140.18
07-Feb-25,787.57,389.69,60538.06
07-Feb-25,990.01,157.59,61370.48
08-Feb-25,303.4,518.6,61155.28
08-Feb-25,563.19,306.64,61411.83
08-Feb-25,286.86,60.56,61638.13
09-Feb-25,535.6,353.4,61820.33
09-Feb-25,642.36,230.93,62231.76
09-Feb-25,532.1,127.88,62635.98
10-Feb-25,313.36,87.1,62862.24
10-Feb-25,413.94,151.47,63124.71
10-Feb-25,309.8,426.98,63007.53
11-Feb-25,212.88,84.68,63135.73
11-Feb-25,498.64,624.98,63009.39
11-Feb-25,928.61,283.75,63654.25
12-Feb-25,838.77,502.07,63990.95
12-Feb-25,880.87,580.88,64290.94
12-Feb-25,458.61,389.87,64359.68
13-Feb-25,98.96,42.19,64416.45
13-Feb-25,813.54,358.71,64871.28
13-Feb-25,35.47,524.27,64382.48
14-Feb-25,892.05,390.26,64884.27
14-Feb-25,595.46,34.6,65445.13
14-Feb-25,559.04,337.62,65666.55
15-Feb-25,816.74,273.52,66209.77
15-Feb-25,913.92,315.76,66807.93
15-Feb-25,214.12,625.81,66396.24
16-Feb-25,603.24,102.5,66896.98
16-Feb-25,783.04,60.06,67619.96
16-Feb-25,292.67,180.77,67731.86
17-Feb-25,726.94,614.18,67844.62
17-Feb-25,558.3,657.43,67745.49
17-Feb-25,770.36,575.21,67940.64
18-Feb-25,338.86,537.63,67741.87
18-Feb-25,984.55,231.6,68494.82
18-Feb-25,504.88,182.18,68817.52
19-Feb-25,187.2,611.72,68393
19-Feb-25,369.34,67.61,68694.73
19-Feb-25,680.01,448.49,68926.25
20-Feb-25,760.94,47.61,69639.58
20-Feb-25,334.67,581.78,69392.47
20-Feb-25,572.89,666.63,69298.73
21-Feb-25,873.96,240.27,69932.42
21-Feb-25,475.52,321.36,70086.58
21-Feb-25,988.4,187.78,70887.2
22-Feb-25,929.53,479.06,71337.67
22-Feb-25,829.67,381.22,71786.12
22-Feb-25,754.92,126.02,72415.02
23-Feb-25,791.03,288.81,72917.24
23-Feb-25,666.92,328.98,73255.18
23-Feb-25,621.86,360.11,73516.93
24-Feb-25,500.81,15,74002.74
24-Feb-25,950.82,39.8,74913.76
24-Feb-25,895.82,210.39,75599.19
25-Feb-25,559.15,371.53,75786.81
25-Feb-25,109.46,14.13,75882.14
25-Feb-25,921.41,19.18,76784.37
26-Feb-25,968.47,390.78,77362.06
26-Feb-25,35.81,496.81,76901.06
26-Feb-25,791.65,237.49,77455.22
27-Feb-25,15.35,160.16,77310.41
27-Feb-25,976.53,126.86,78160.08
27-Feb-25,41.93,556.49,77645.52
28-Feb-25,310.36,545.4,77410.48
28-Feb-25,174.41,54.9,77529.99
28-Feb-25,481.66,212.63,77799.02
01-Mar-25,206.59,630.77,77374.84
01-Mar-25,747.9,364.27,77758.47
01-Mar-25,797.04,679.11,77876.4
02-Mar-25,92.03,181.97,77786.46
02-Mar-25,470.08,529.98,77726.56
02-Mar-25,145.92,330.87,77541.61
03-Mar-25,46.67,190.12,77398.16
03-Mar-25,567.71,644.42,77321.45
03-Mar-25,684.25,188.21,77817.49
04-Mar-25,286.32,42.52,78061.29
04-Mar-25,948.8,270.19,78739.9
04-Mar-25,127.28,394.05,78473.13
05-Mar-25,252.43,303.24,78422.32
05-Mar-25,202.73,212.51,78412.54
05-Mar-25,658.74,635.93,78435.35
06-Mar-25,262.99,614.56,78083.78
06-Mar-25,132.85,145.18,78071.45
06-Mar-25,619.5,291.69,78399.26
07-Mar-25,273.97,269.11,78404.12
07-Mar-25,24.17,276.7,78151.59
07-Mar-25,506.53,676.91,77981.21
08-Mar-25,341.6,111.53,78211.28
08-Mar-25,781.79,488.16,78504.91
08-Mar-25,838.42,12.99,79330.34
09-Mar-25,492.3,369.28,79453.36
09-Mar-25,78.58,96.56,79435.38
09-Mar-25,391.28,198.99,79627.67
10-Mar-25,227.6,564.72,79290.55
10-Mar-25,727.5,53.45,79964.6
10-Mar-25,771.25,240.9,80494.95
11-Mar-25,520.08,510.33,80504.7
11-Mar-25,575.9,428.64,80651.96
11-Mar-25,76.14,422.91,80305.19
12-Mar-25,868.53,242.63,80931.09
12-Mar-25,208.87,612.29,80527.67
12-Mar-25,492.24,315.23,80704.68
13-Mar-25,695.35,433.83,80966.2
13-Mar-25,466.16,651.16,80781.2
13-Mar-25,532.39,465.01,80848.58
14-Mar-25,950.93,161.74,81637.77
14-Mar-25,2.49,194.35,81445.91
14-Mar-25,83.64,192.24,81337.31
15-Mar-25,109.29,395.9,81050.7
15-Mar-25,595.6,544.42,81101.88
15-Mar-25,337.38,161.42,81277.84
16-Mar-25,168.81,640.03,80806.62
16-Mar-25,344.55,511.1,80640.07
16-Mar-25,592.74,323.11,80909.7
17-Mar-25,422.01,123.87,81207.84
17-Mar-25,280.98,33.79,81455.03
17-Mar-25,150.14,514.49,81090.68
18-Mar-25,326.9,665.93,80751.65
18-Mar-25,111.34,639.31,80223.68
18-Mar-25,470.45,693.71,80000.42
19-Mar-25,258.36,516.01,79742.77
19-Mar-25,633.93,631.85,79744.85
19-Mar-25,760.85,453.58,80052.12
20-Mar-25,622.97,30.71,80644.38
20-Mar-25,358.08,482.81,80519.65
20-Mar-25,568.02,26.39,81061.28
21-Mar-25,60.84,382.65,80739.47
21-Mar-25,994.05,381.95,81351.57
21-Mar-25,645.78,243.09,81754.26
22-Mar-25,836.61,28.66,82562.21
22-Mar-25,622.63,294.37,82890.47
22-Mar-25,447.09,123.73,83213.83
23-Mar-25,64.32,501.8,82776.35
